event_time_ns,event_time,instrument_id,signal,close,vwm_bar_close,vwm_bar_high,vwm_bar_low,vwm_bar_volume
1718481600000000000,2024-06-15T20:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66035.3,66035.3,66168.6,65801.0,6981.787
1718485200000000000,2024-06-15T21:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66114.8,66114.8,66144.6,66028.4,1171.991
1718488800000000000,2024-06-15T22:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66192.9,66192.9,66192.9,66036.0,1619.874
1718492400000000000,2024-06-15T23:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66213.7,66213.7,66282.5,66192.8,2427.508
1718496000000000000,2024-06-16T00:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66157.3,66157.3,66256.9,66150.3,2077.363
1718499600000000000,2024-06-16T01:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66163.1,66163.1,66207.8,66093.9,1925.236
1718503200000000000,2024-06-16T02:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66132.0,66132.0,66166.9,66094.3,1539.193
1718506800000000000,2024-06-16T03:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66129.6,66129.6,66156.4,66054.1,1665.723
1718510400000000000,2024-06-16T04:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66150.0,66150.0,66195.2,66012.1,2442.095
1718514000000000000,2024-06-16T05:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66251.9,66251.9,66252.0,66149.9,1797.176
1718517600000000000,2024-06-16T06:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66303.2,66303.2,66350.0,66162.8,3003.275
1718521200000000000,2024-06-16T07:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66249.4,66249.4,66342.5,66233.2,1886.253
1718524800000000000,2024-06-16T08:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66261.8,66261.8,66330.2,66225.0,2381.811
1718528400000000000,2024-06-16T09:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66392.3,66392.3,66421.2,66169.4,3981.078
1718532000000000000,2024-06-16T10:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66696.1,66696.1,66780.0,66350.5,9712.92
1718535600000000000,2024-06-16T11:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66471.4,66471.4,66719.3,66413.5,5290.213
1718539200000000000,2024-06-16T12:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66577.0,66577.0,66635.6,66455.6,3015.407
1718542800000000000,2024-06-16T13:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66744.3,66744.3,66747.6,66532.2,4666.164
1718546400000000000,2024-06-16T14:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66501.5,66501.5,66778.1,66475.2,5865.088
1718550000000000000,2024-06-16T15:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66690.4,66690.4,66712.7,66489.9,2823.29
1718553600000000000,2024-06-16T16:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66572.4,66572.4,66733.3,66529.2,2915.133
1718557200000000000,2024-06-16T17:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66563.0,66563.0,66654.6,66497.4,3232.997
1718560800000000000,2024-06-16T18:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66574.0,66574.0,66650.0,66550.0,1614.05
1718564400000000000,2024-06-16T19:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66542.5,66542.5,66636.2,66496.0,1722.719
1718568000000000000,2024-06-16T20:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66503.8,66503.8,66596.0,66432.9,2575.648
1718571600000000000,2024-06-16T21:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,66510.6,66510.6,66524.6,66440.0,1585.417
