event_time_ns,event_time,instrument_id,close,cash,position,realized_pnl,unrealized_pnl,equity
1723131000000000000,2024-08-08T15:30:00+00:00,BTCUSDT-PERP.BINANCE,58986.2,92229.73885,0.0,10806.5,0.0,92229.73885
1723131300000000000,2024-08-08T15:35:00+00:00,BTCUSDT-PERP.BINANCE,59223.4,92229.73885,0.0,10806.5,0.0,92229.73885
1723131600000000000,2024-08-08T15:40:00+00:00,BTCUSDT-PERP.BINANCE,59118.2,92229.73885,0.0,10806.5,0.0,92229.73885
1723131900000000000,2024-08-08T15:45:00+00:00,BTCUSDT-PERP.BINANCE,59210.3,92229.73885,0.0,10806.5,0.0,92229.73885
1723132200000000000,2024-08-08T15:50:00+00:00,BTCUSDT-PERP.BINANCE,59318.5,92229.73885,0.0,10806.5,0.0,92229.73885
1723132500000000000,2024-08-08T15:55:00+00:00,BTCUSDT-PERP.BINANCE,59391.3,92229.73885,0.0,10806.5,0.0,92229.73885
1723132800000000000,2024-08-08T16:00:00+00:00,BTCUSDT-PERP.BINANCE,59464.1,92229.73885,0.0,10806.5,0.0,92229.73885
1723133100000000000,2024-08-08T16:05:00+00:00,BTCUSDT-PERP.BINANCE,59526.7,92229.73885,0.0,10806.5,0.0,92229.73885
1723133400000000000,2024-08-08T16:10:00+00:00,BTCUSDT-PERP.BINANCE,59743.7,92229.73885,0.0,10806.5,0.0,92229.73885
1723133700000000000,2024-08-08T16:15:00+00:00,BTCUSDT-PERP.BINANCE,59602.5,92229.73885,0.0,10806.5,0.0,92229.73885
1723134000000000000,2024-08-08T16:20:00+00:00,BTCUSDT-PERP.BINANCE,59709.9,92229.73885,0.0,10806.5,0.0,92229.73885
1723134300000000000,2024-08-08T16:25:00+00:00,BTCUSDT-PERP.BINANCE,59566.5,92229.73885,0.0,10806.5,0.0,92229.73885
1723134600000000000,2024-08-08T16:30:00+00:00,BTCUSDT-PERP.BINANCE,59498.9,92229.73885,0.0,10806.5,0.0,92229.73885
1723134900000000000,2024-08-08T16:35:00+00:00,BTCUSDT-PERP.BINANCE,59453.4,92229.73885,0.0,10806.5,0.0,92229.73885
1723135200000000000,2024-08-08T16:40:00+00:00,BTCUSDT-PERP.BINANCE,59400.0,92229.73885,0.0,10806.5,0.0,92229.73885
1723135500000000000,2024-08-08T16:45:00+00:00,BTCUSDT-PERP.BINANCE,59420.1,92229.73885,0.0,10806.5,0.0,92229.73885
1723135800000000000,2024-08-08T16:50:00+00:00,BTCUSDT-PERP.BINANCE,59468.5,92229.73885,0.0,10806.5,0.0,92229.73885
1723136100000000000,2024-08-08T16:55:00+00:00,BTCUSDT-PERP.BINANCE,59531.9,92229.73885,0.0,10806.5,0.0,92229.73885
1723136400000000000,2024-08-08T17:00:00+00:00,BTCUSDT-PERP.BINANCE,59382.0,92229.73885,0.0,10806.5,0.0,92229.73885
1723136700000000000,2024-08-08T17:05:00+00:00,BTCUSDT-PERP.BINANCE,59415.3,92229.73885,0.0,10806.5,0.0,92229.73885
1723137000000000000,2024-08-08T17:10:00+00:00,BTCUSDT-PERP.BINANCE,59536.0,92229.73885,0.0,10806.5,0.0,92229.73885
1723137300000000000,2024-08-08T17:15:00+00:00,BTCUSDT-PERP.BINANCE,59550.8,92229.73885,0.0,10806.5,0.0,92229.73885
1723137600000000000,2024-08-08T17:20:00+00:00,BTCUSDT-PERP.BINANCE,59588.1,92229.73885,0.0,10806.5,0.0,92229.73885
1723137900000000000,2024-08-08T17:25:00+00:00,BTCUSDT-PERP.BINANCE,59740.7,92229.73885,0.0,10806.5,0.0,92229.73885
1723138200000000000,2024-08-08T17:30:00+00:00,BTCUSDT-PERP.BINANCE,59592.1,92229.73885,0.0,10806.5,0.0,92229.73885
