event_time_ns,event_time,instrument_id,action,quantity,reason
1718152200000000000,2024-06-12T00:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718158200000000000,2024-06-12T02:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718170500000000000,2024-06-12T05:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718177400000000000,2024-06-12T07:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718215500000000000,2024-06-12T18:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718240100000000000,2024-06-13T00:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718241600000000000,2024-06-13T01:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718263500000000000,2024-06-13T07:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718268300000000000,2024-06-13T08:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718275500000000000,2024-06-13T10:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718287800000000000,2024-06-13T14:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718313300000000000,2024-06-13T21:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718320200000000000,2024-06-13T23:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718330700000000000,2024-06-14T02:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718341200000000000,2024-06-14T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718341500000000000,2024-06-14T05:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718358000000000000,2024-06-14T09:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718364600000000000,2024-06-14T11:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718374500000000000,2024-06-14T14:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718396700000000000,2024-06-14T20:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718434500000000000,2024-06-15T06:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718442300000000000,2024-06-15T09:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718460300000000000,2024-06-15T14:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718464500000000000,2024-06-15T15:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
