event_time_ns,event_time,instrument_id,signal,close,vwm_bar_close,vwm_bar_high,vwm_bar_low,vwm_bar_volume
1717259400000000000,2024-06-01T16:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67732.9,67732.9,67764.5,67710.0,268.524
1717260300000000000,2024-06-01T16:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67740.0,67740.0,67753.1,67684.1,378.86
1717261200000000000,2024-06-01T17:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67685.3,67685.3,67740.0,67660.0,406.764
1717262100000000000,2024-06-01T17:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67723.1,67723.1,67727.9,67671.6,325.621
1717263000000000000,2024-06-01T17:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67695.7,67695.7,67731.8,67694.8,173.739
1717263900000000000,2024-06-01T17:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67809.1,67809.1,67867.3,67590.0,4125.408
1717264800000000000,2024-06-01T18:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,67787.7,67787.7,67850.7,67764.5,591.788
1717265700000000000,2024-06-01T18:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67756.6,67756.6,67804.6,67755.3,277.983
1717266600000000000,2024-06-01T18:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67797.4,67797.4,67797.5,67750.8,213.958
1717267500000000000,2024-06-01T18:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67782.5,67782.5,67808.6,67767.1,219.454
1717268400000000000,2024-06-01T19:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67746.7,67746.7,67798.5,67741.0,200.098
1717269300000000000,2024-06-01T19:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67754.1,67754.1,67765.3,67713.1,184.744
1717270200000000000,2024-06-01T19:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67811.7,67811.7,67824.0,67735.1,354.668
1717271100000000000,2024-06-01T19:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67779.7,67779.7,67811.7,67766.4,219.949
1717272000000000000,2024-06-01T20:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67740.1,67740.1,67810.0,67740.0,421.362
1717272900000000000,2024-06-01T20:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67783.2,67783.2,67783.3,67740.0,130.424
1717273800000000000,2024-06-01T20:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67809.3,67809.3,67809.3,67770.6,155.26
1717274700000000000,2024-06-01T20:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67836.8,67836.8,67836.9,67768.7,238.264
1717275600000000000,2024-06-01T21:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67752.8,67752.8,67837.0,67736.0,325.457
